Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Sentier Forestier et Botanique,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.195421,5.754867,Place Charles de Gaulle,83740#La Cadière-d'Azur,,True,True,Bureau d'Information Tourisme de La Cadière d'Azur,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-08-29,#+33 4 94 90 12 56#tourismecadiere@orange.fr#https://www.tourisme-lacadieredazur.fr/,,"Vous découvrirez tout au long de cette balade la flore méditerranéenne avec des panneaux pédagogiques, la chapelle Sainte Croix du XVII°...",https://data.datatourisme.gouv.fr/13/aaa5e1f8-2ef6-3106-8473-3be76b33ef11
Itinéraire des Roues à Aubes,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.920039,5.051678,13 Place Ferdinand Buisson Isle sur la Sorgue Tourisme,84800#L'Isle-sur-la-Sorgue,,True,True,Office de Tourisme Pays des Sorgues et Monts de Vaucluse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-29,#+33 4 90 38 04 78##http://www.oti-delasorgue.fr/,,Partez à la découverte des roues à aubes de l'Isle-sur-la-Sorgue dans un parcours de 2 km le long de la rivière.,https://data.datatourisme.gouv.fr/13/e748ad5f-dfe1-3917-a6ba-0e017aee6ac7
La Route des Fruits et des Vins - Hautes-Alpes,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,44.460246999999995,6.054485,Place du Château,05130#Tallard,,True,True,Agence de Développement Économique et Touristique des Hautes-Alpes,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-09,#+33 4 92 54 04 29#info@gap-tallard-vallees.fr#https://www.gap-tallard-vallees.fr/<>http://www.vinsdeshautesalpes.fr/,,"La Route des Fruits et des Vins vous conduit du belvédère du Lac de Serre-Ponçon à Rousset, puis longe la Durance jusqu'au porte de la Provence. C'est une invitation originale et gourmande à la découverte des productions fruitières et viticoles.",https://data.datatourisme.gouv.fr/13/58b32b6e-1514-3062-8676-11cbf940c78b
Château Saint Pons - Sentier vigneron,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.905742,5.402602,Saint Pons 2259 bis route de la Riaille,84400#Villars,,True,True,Office de Tourisme Intercommunal Pays d’Apt Luberon,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-03-30,#+33 4 90 75 55 84#chateau@saintpons.com#http://www.saintpons.com/,,"Venez découvrir nos différents cépages tout au long du circuit dans les vignes, admirer les magnifiques paysages avec des points de vues très différents, guidés par une brochure détaillée.",https://data.datatourisme.gouv.fr/13/2a1db434-0dd7-36d5-abe5-54a186ac13d1
Séjours VAE,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,44.089573,6.963574,485 route des Serres de Nairaud,06470#Beuil,,True,False,Office de Tourisme de Valberg,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-04-16,#+33 6 10 54 85 45<>+33 6 37 57 51 07#gite.nature.montagne@hotmail.com#http://www.redroc-mtb.com/,,"Venez découvrir avec nous les plus beaux spots VTT des Portes du Mercantour. Tous  niveaux, enfants / adultes. Rando, enduro, VTT à assistance électrique, navette, stages de perfectionnement, Bike Park.",https://data.datatourisme.gouv.fr/13/6bb94ac4-a540-3caa-8b29-0b6980f29f31
Chemin de la Fontaine,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.921463,5.130662999999999,Chemin de la Fontaine,84800#Fontaine-de-Vaucluse,,True,True,Office de Tourisme Pays des Sorgues et Monts de Vaucluse,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-08-13,#+33 4 90 20 32 22#accueil@islesurlasorguetourisme.com#,,"Quelques centaines de mètres pour remonter la rivière et parvenir jusqu'à la Source de la Sorgue. Cette petite balade à pieds (de préférence) est agréable, non sportive, et vous invite à découvrir le pittoresque village de Fontaine-de-Vaucluse.",https://data.datatourisme.gouv.fr/13/807e6249-b83f-340a-8233-5777df946a82
"circuit pédestre ""Les Ateliers"" de Forcalquier",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.958999999999996,5.7805,BP 15 13 place du Bourguet,04300#Forcalquier,,True,True,Office de tourisme intercommunal Pays de Forcalquier-Montagne de Lure,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-17,#+33 4 92 75 10 02<>+33 6 60 58 29 67#bienvenue@haute-provence-tourisme.com#https://www.haute-provence-tourisme.com/,,Un circuit au coeur de la ville pour partir à la découverte des Ateliers de Forcalquier et faire la rencontres de ces artistes !,https://data.datatourisme.gouv.fr/13/627ab035-4eb9-324d-b86e-df472f58b946
"circuit en voiture 'Cheminement littéraire"" en pays de Forcalquier",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#RoadTour|http://purl.org/ontology/olo/core#OrderedList,43.959933,5.780712,BP 15 13 place du Bourguet,04300#Forcalquier,,True,True,Office de tourisme intercommunal Pays de Forcalquier-Montagne de Lure,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-17,#+33 4 92 75 10 02#bienvenue@haute-provence-tourisme.com#https://www.haute-provence-tourisme.com/,,"Un circuit autour des métiers du livre et de l'écriture dans le pays de Forcalquier, Pôle d'Excellence Rurale “Pays du livre et de l’écriture” et ses 3 sites phares.",https://data.datatourisme.gouv.fr/13/7d3d3b38-1d1a-3981-b73e-5d7515e309fe
"They du Mazet, the Rhône estuary",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.374961,4.83038,Tour Saint Louis - Quai Bonnardel,13230#Port-Saint-Louis-du-Rhône,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-01-27,#+33 4 42 86 81 28<>+33 4 42 86 01 21#palissade@parc-camargue.fr<>contact@portsaintlouis-tourisme.fr#http://www.palissade.fr/<>http://www.portsaintlouis-tourisme.fr/,,"Le they du Mazet, une faune remarquable et un paysage du littoral sauvage d'une grande beauté !",https://data.datatourisme.gouv.fr/58/a579a5c9-a001-3a77-8fbd-9561daf982a3
"They du Mazet, l'embouchure du Rhône",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.374961,4.83038,Tour Saint Louis - Quai Bonnardel,13230#Port-Saint-Louis-du-Rhône,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-04-19,#+33 4 42 86 81 28<>+33 4 42 86 01 21#palissade@parc-camargue.fr<>contact@portsaintlouis-tourisme.fr#http://www.palissade.fr/<>http://www.portsaintlouis-tourisme.fr/,,"Le they du Mazet, une faune remarquable et un paysage du littoral sauvage d'une grande beauté !",https://data.datatourisme.gouv.fr/58/80cc0724-a436-356a-8b01-7e7de8b3e1b4
"PORT-SAINT-LOUIS-DU-RHÔNE - A vélo, la ville entourée d'eau",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.386057,4.803534,Tour Saint Louis - Quai Bonnardel,13230#Port-Saint-Louis-du-Rhône,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-04-19,#+33 4 42 86 81 28<>+33 4 42 86 01 21#palissade@parc-camargue.fr<>contact@portsaintlouis-tourisme.fr#http://www.palissade.fr/<>http://www.portsaintlouis-tourisme.fr/,,"Balade à l'embouchure du grand Rhône, entre la ville du ""'bout du monde'', le fleuve et la mer...",https://data.datatourisme.gouv.fr/58/a5e995cd-0c99-357b-af6e-b6923b1d5e97
"Port-Saint-Louis on bike, the city surrounded by water",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.386057,4.803534,Tour Saint Louis - Quai Bonnardel,13230#Port-Saint-Louis-du-Rhône,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-01-27,#+33 4 42 86 81 28<>+33 4 42 86 01 21#palissade@parc-camargue.fr<>contact@portsaintlouis-tourisme.fr#http://www.palissade.fr/<>http://www.portsaintlouis-tourisme.fr/,,"Balade à l'embouchure du grand Rhône, entre la ville du ""'bout du monde'', le fleuve et la mer...",https://data.datatourisme.gouv.fr/58/7edd9b71-e074-341a-8ef4-deb2b8c88c9b
"They du Mazet, l'embouchure du Rhône",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.374961,4.83038,Tour Saint Louis - Quai Bonnardel,13230#Port-Saint-Louis-du-Rhône,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-05-04,#+33 4 42 86 81 28<>+33 4 42 86 01 21#palissade@parc-camargue.fr<>contact@portsaintlouis-tourisme.fr#http://www.palissade.fr/<>http://www.portsaintlouis-tourisme.fr/,,"Le they du Mazet, une faune remarquable et un paysage du littoral sauvage d'une grande beauté !",https://data.datatourisme.gouv.fr/58/8e7847ce-1ccd-36a1-9d15-30e022775979
"They du Mazet, l'embouchure du Rhône",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.374961,4.83038,Tour Saint Louis - Quai Bonnardel,13230#Port-Saint-Louis-du-Rhône,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-09-20,#+33 4 42 86 81 28<>+33 4 42 86 01 21#palissade@parc-camargue.fr<>contact@portsaintlouis-tourisme.fr#http://www.palissade.fr/<>http://www.portsaintlouis-tourisme.fr/,,"Le they du Mazet, une faune remarquable et un paysage du littoral sauvage d'une grande beauté !",https://data.datatourisme.gouv.fr/58/3aacb8e2-5cb0-338e-b8c6-d199ecf374c7
"PORT-SAINT-LOUIS-DU-RHÔNE - A vélo, la ville entourée d'eau",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.386057,4.803534,Tour Saint Louis - Quai Bonnardel,13230#Port-Saint-Louis-du-Rhône,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-05-04,#+33 4 42 86 81 28<>+33 4 42 86 01 21#palissade@parc-camargue.fr<>contact@portsaintlouis-tourisme.fr#http://www.palissade.fr/<>http://www.portsaintlouis-tourisme.fr/,,"Balade à l'embouchure du grand Rhône, entre la ville du ""'bout du monde'', le fleuve et la mer...",https://data.datatourisme.gouv.fr/58/ce01b6bb-dead-3301-b1d8-56658a37192f
"PORT-SAINT-LOUIS-DU-RHÔNE - A vélo, la ville entourée d'eau",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.386057,4.803534,Tour Saint Louis - Quai Bonnardel,13230#Port-Saint-Louis-du-Rhône,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-09-20,#+33 4 42 86 81 28<>+33 4 42 86 01 21#palissade@parc-camargue.fr<>contact@portsaintlouis-tourisme.fr#http://www.palissade.fr/<>http://www.portsaintlouis-tourisme.fr/,,"Balade à l'embouchure du grand Rhône, entre la ville du ""'bout du monde'', le fleuve et la mer...",https://data.datatourisme.gouv.fr/58/6f2149da-c2b3-329d-974c-d748ae1949b4
ARLES - Le chemin des taureaux à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.673978999999996,4.627791,9 Boulevard des Lices,13200#Arles,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-02-05,#+33 4 90 18 41 20<>+33 4 90 97 10 40#ot-arles@arlestourisme.com<>info@parc-camargue.fr#http://www.parc-camargue.fr/<>http://www.arlestourisme.com/fr/,,"Sur le chemin des pèlerins de Saint-Jacques de Compostelle, partez à la recherche des nombreux témoignages de la vie agricole...",https://data.datatourisme.gouv.fr/58/bbbd411c-49b2-3f3c-b385-9312caa444d8
ARLES - Sur le sentier du Pont de Rousty,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.624547,4.528925,9 Boulevard des Lices,13200#Arles,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-04-19,#+33 4 90 18 41 20<>+33 4 90 97 10 40#ot-arles@arlestourisme.com<>info@parc-camargue.fr#http://www.parc-camargue.fr/<>http://www.arlestourisme.com/fr/,,Ce sentier offre une belle présentation des milieux naturels de Camargue liés à l'eau. Un voyage dans des paysages singuliers !,https://data.datatourisme.gouv.fr/58/d95e3102-2fdb-3e40-af8b-f63f6f7e0a41
ARLES - Le chemin des taureaux à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.673978999999996,4.627791,9 Boulevard des Lices,13200#Arles,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-04-19,#+33 4 90 18 41 20<>+33 4 90 97 10 40#ot-arles@arlestourisme.com<>info@parc-camargue.fr#http://www.parc-camargue.fr/<>http://www.arlestourisme.com/fr/,,"Sur le chemin des pèlerins de Saint-Jacques de Compostelle, partez à la recherche des nombreux témoignages de la vie agricole...",https://data.datatourisme.gouv.fr/58/552c095c-ba55-3eab-bf62-b790b0c436c7
ARLES - Sur le sentier du Pont de Rousty,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,43.624547,4.528925,9 Boulevard des Lices,13200#Arles,,True,True,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2021-02-05,#+33 4 90 18 41 20<>+33 4 90 97 10 40#ot-arles@arlestourisme.com<>info@parc-camargue.fr#http://www.parc-camargue.fr/<>http://www.arlestourisme.com/fr/,,Ce sentier offre une belle présentation des milieux naturels de Camargue liés à l'eau. Un voyage dans des paysages singuliers !,https://data.datatourisme.gouv.fr/58/3a575d66-0763-35d6-b9a6-875ab5eb76b1
